month,station,pH,ammonia,nitrate,inorganic_phosphate,dissolved_oxygen,fecal_coliforms,wqi,BOD
1,17,8.5,0.025,0.138,0.034,9.6,2400,97,6
2,1,8.5,0.025,0.53,0.021,8.2,2400,97,6
2,2,8.4,0.025,0.53,0.021,8.3,2400,97,6
2,4,8.2,0.025,0.53,0.021,8.7,2400,97,6
2,5,8.5,0.025,0.53,0.021,8.4,2400,97,6
2,8,8.3,0.025,0.53,0.021,8,2400,97,6
2,15,8.6,0.025,0.53,0.021,8.4,2400,97,6
2,16,8.6,0.025,0.53,0.021,8.2,2400,97,6
2,17,8.5,0.025,0.53,0.021,8.8,2400,97,6
2,18,8.4,0.025,0.53,0.021,8.6,2400,97,6
3,1,7.9,0.025,0.53,0.021,8.5,2400,97,6
3,2,8,0.025,0.53,0.021,7.5,2400,97,6
3,4,7.9,0.025,0.53,0.021,8.2,2400,97,6
3,5,7.9,0.025,0.53,0.021,7.7,2400,97,6
3,8,7.8,0.025,0.53,0.021,7.6,2400,97,6
3,15,8.3,0.025,0.53,0.021,8.5,2400,97,6
3,16,8.2,0.025,0.53,0.021,8.7,2400,97,6
3,17,8.2,0.025,0.53,0.021,8.4,2400,97,6
5,1,7.4,0.025,0.53,0.021,9.3,2400,97,6
5,2,7.6,0.025,0.53,0.021,8.8,2400,97,6
5,4,7.9,0.025,0.53,0.021,9.2,2400,97,6
5,5,7.9,0.025,0.53,0.021,11.5,2400,97,6
5,8,7.9,0.025,0.53,0.021,9.2,2400,97,6
5,15,7.7,0.025,0.53,0.021,9.2,2400,97,6
5,16,7.5,0.025,0.53,0.021,10.3,2400,97,6
5,17,7.8,0.025,0.53,0.021,9.5,2400,97,6
5,18,7.8,0.025,0.53,0.021,9,2400,97,6
6,1,8.8,0.025,0.53,0.021,9.8,2400,97,6
6,2,8.4,0.025,0.53,0.021,8.4,2400,97,6
6,4,8.7,0.025,0.53,0.021,7.9,2400,97,6
6,5,8.3,0.025,0.53,0.021,8.2,2400,97,6
6,8,8.4,0.025,0.53,0.021,9,2400,97,6
6,15,8.6,0.025,0.53,0.021,8.8,2400,97,6
6,16,8.2,0.025,0.53,0.021,8.8,2400,97,6
6,17,8.4,0.025,0.53,0.021,8.9,2400,97,6
6,18,8.7,0.025,0.53,0.021,7.9,2400,97,6
7,1,8.4,0.025,1.51,0.021,7.6,2400,97,6
7,5,8.3,0.025,0.71,0.021,12.8,2400,97,6
7,17,8.5,0.025,0.53,0.016,10.2,2400,97,7
7,18,8.6,0.025,0.52,0.009,10.6,2400,97,7
8,2,8.3,0.025,0.388,0.009,7.2,2400,97,7
8,4,9,0.025,0.388,0.009,11.3,2400,97,7
9,1,8.5,0.025,0.388,0.009,5.8,2400,97,7
9,2,8.7,0.025,0.388,0.009,8.6,2400,97,7
9,4,8.4,0.025,0.388,0.009,7.1,2400,97,7
9,5,7.8,0.025,0.388,0.009,6.9,2400,97,7
9,15,8.6,0.025,0.388,0.009,9.6,2400,97,7
9,17,7.8,0.025,0.388,0.009,8,2400,97,7
9,18,8.8,0.025,0.388,0.009,8.6,2400,97,7
10,1,8.4,0.025,0.388,0.009,7.6,2400,97,2
10,2,8,0.025,0.388,0.009,6.1,2400,97,2
10,4,8.2,0.025,0.388,0.009,7.4,2400,97,3
10,5,7.6,0.025,0.388,0.009,5.3,2400,97,4
10,8,8.1,0.025,0.388,0.009,7.6,2400,97,2
10,15,8,0.025,0.388,0.009,7,2400,97,3
10,16,8.7,0.025,0.388,0.009,8.3,2400,97,3
10,17,8.2,0.025,0.388,0.009,7.7,2400,97,3
10,18,7.9,0.025,0.388,0.009,7,2400,97,4
11,5,7.8,0.025,0.388,0.017,6.5,2400,97,2
12,5,8.5,0.025,0.203,0.066,8.5,2400,97,3
1,1,7.3,0.025,0.203,0.005,7.5,2400,97,2
1,2,8.2,0.025,0.203,0.005,7.2,2400,97,1
1,4,7.8,0.025,0.203,0.005,7.2,1600,97,2
1,8,7.7,0.025,0.203,0.005,6.8,2400,97,1
1,15,8.3,0.025,0.203,0.005,8.7,2400,97,2
1,16,8.8,0.025,0.203,0.005,8.4,2400,97,2
1,17,7.9,0.025,0.203,0.005,7.7,2400,97,2
1,18,8,0.025,0.203,0.005,7.6,3500,97,1
8,17,8.9,0.025,0.037,0.005,7.3,3500,97,2
8,18,8.9,0.256,0.041,0.001,6.7,3500,97,3
10,18,9,0.1,0.036,0.021,9.3,3500,97,1
3,18,8.3,0.25,0.001,0.023,9.4,3500,97,2
10,18,8,0.03,0.001,0.036,8.5,3500,97,3
11,18,8.1,0.021,0.06,0.02,8.5,3500,97,1
1,1,8.5,0.057,0.159,0.115,8.6,410,75,6
1,2,8.3,0.057,0.166,0.114,7.9,410,75,6
1,4,8.4,0.057,0.181,0.08,8.3,410,75,6
1,5,8.6,0.057,0.179,0.096,8.9,410,75,6
1,8,8.3,0.057,0.192,0.096,8.2,410,75,6
1,15,8.6,0.057,0.153,0.118,8.7,410,75,6
1,16,8.6,0.057,0.164,0.097,9.4,410,75,6
1,18,8.4,0.057,0.167,0.102,8.7,410,75,6
4,4,7.8,0.057,2.054,0.18,7.1,410,75,6
4,8,7.9,0.057,1.385,0.12,8.1,410,75,7
7,4,9.3,0.057,0.37,0.088,11.7,410,75,7
7,15,8.3,0.057,0.73,0.055,8.6,410,75,8
11,1,7.9,0.057,1.066,0.157,6.8,410,75,2
11,4,7.8,0.057,0.784,0.144,6.7,410,75,2
11,15,7.8,0.057,0.539,0.127,6.5,410,75,2
11,17,7.8,0.057,0.474,0.123,7,410,75,2
12,1,8.4,0.057,0.466,0.068,8.5,410,75,2
12,4,8.4,0.057,0.457,0.084,7.2,410,75,3
12,15,8.5,0.057,0.293,0.069,7.8,410,75,3
12,17,8.8,0.057,0.366,0.042,7.7,410,75,2
2,2,8,0.057,0.357,0.059,7.9,410,75,2
2,16,8.2,0.008,0.285,0.04,8.3,639,75,2
2,18,8.1,0.024,0.283,0.056,8.3,401,75,2
3,1,8,0.045,0.308,0.021,7.6,678,75,1
3,2,8.3,0.264,0.176,0.004,8.4,333,75,1
3,4,8.1,0.019,0.355,0.006,8.3,457,75,1
3,5,8,0.133,0.103,0.004,7.6,357,75,1
3,8,7.8,0.22,0.204,0.001,8,672,75,1
3,15,8.1,0.169,0.352,0.03,7.6,485,75,1
4,1,6.7,0.152,0.065,0.125,8.6,144,75,1
4,4,8.7,0.129,0.039,0.104,8.6,125,75,1
4,5,8.9,0.083,0.087,0.102,7.5,125,75,1
4,15,8.3,0.088,0.128,0.103,8.6,201,75,2
4,16,8.3,0.081,0.102,0.087,8.1,165,75,1
4,17,8.6,0.058,0.088,0.089,8.3,294,75,1
5,1,8.3,0.236,0.001,0.147,6.4,144,75,1
5,4,8.3,0.05,0.002,0.103,6.8,117,75,1
5,5,8.2,0.349,0.059,0.164,7.1,102,75,2
5,15,8.2,0.074,0.019,0.069,6.9,185,75,3
5,16,8.3,0.054,0.036,0.067,7.7,107,75,2
6,15,8.9,0.067,0.77,0.12,7.6,208,75,3
6,17,9.3,0.047,0.372,0.073,8.9,35,75,3
6,18,9.4,0.031,0.798,0.12,9.1,26,75,4
7,1,8.8,0.025,0.068,0.134,7.3,185,75,2
7,5,8.9,0.067,0.11,0.048,6.3,793,75,2
7,16,8.7,0.039,0.001,0.074,7.5,136,75,2
8,2,8.9,0.181,0.271,0.001,6.8,665,75,2
8,15,8.9,0.07,0.301,0.008,6.5,418,75,2
9,2,9,0.048,0.022,0.011,9,754,75,2
9,15,8.7,0.001,0.069,0.072,8.7,418,75,3
9,17,9.4,0.005,0.028,0.061,12.1,82,75,3
9,18,9.4,0.013,0.031,0.007,9.4,194,75,2
10,2,9.2,0.045,0.035,0.016,10,213,75,3
10,5,7.8,0.236,0.463,0.133,6.3,478,75,4
10,8,8.7,0.008,0.034,0.066,8.5,309,75,1
10,16,7.7,0.22,0.055,0.121,5.8,211,75,1
10,17,8.8,0.093,0.091,0.074,7.6,101,75,1
11,2,8.8,0.32,0.255,0.051,7.2,153,75,1
11,4,8.8,0.052,0.545,0.251,7.4,26,75,1
12,4,8.4,0.063,0.001,0.165,7.7,21,75,1
12,15,9,0.082,0.028,0.111,9.6,141,75,3
12,16,8.5,0.047,0.014,0.075,8.5,268,75,4
1,2,8,0.001,0.343,0.084,7.7,116,75,1
1,16,8.4,0.001,0.001,0.088,7.7,102,75,1
2,2,7.9,0.572,0.44,0.173,7.6,110,75,2
2,4,7.9,0.091,1.412,0.161,7.3,63,75,1
2,5,8.4,0.074,2.631,0.163,9,214,75,0.5
2,8,7.9,0.065,1.88,0.115,7.6,193,75,0.5
2,16,7.9,0.001,2.136,0.165,7.8,90,75,1
2,18,7.9,0.033,0.54,0.16,7.8,73,75,1
3,4,8,0.033,0.372,0.088,8.4,166,75,2
3,5,7.9,0.046,0.373,0.098,9,214,75,2
3,8,8.2,0.024,0.24,0.076,9.1,344,75,1
3,15,8.1,0.023,0.205,0.079,9.1,210,75,2
3,16,8.5,0.034,0.285,0.066,9.6,159,75,1
3,17,8.3,0.023,0.221,0.072,8.5,188,75,2
4,4,7.8,0.03,0.144,0.143,6.9,240,75,3
4,5,7.9,0.048,0.154,0.174,9.3,214,75,3
5,2,6.3,0.008,0.001,0.062,7.7,1060,75,2
5,4,8.7,0.026,0.001,0.067,8.4,314,75,3
5,15,8.3,0.022,0.013,0.02,7.9,426,75,3
5,16,8,0.043,0.001,0.078,7,306,75,2
5,18,8.3,0.019,0.001,0.071,8.4,426,75,3
6,15,8.3,0.025,0.001,0.151,8.7,259,75,3
6,16,8.4,0.003,0.001,0.143,9,217,75,2
6,17,8.5,0.001,0.001,0.132,10.2,303,75,2
7,1,8.2,0.058,0.031,0.11,8.7,163,75,2
7,8,8.1,0.047,0.015,0.05,8.1,482,75,2
8,1,8.6,0.099,0.018,0.076,9.4,163,75,3
8,2,8.6,0.089,0.184,0.105,9.6,271,75,3
8,8,9,0.026,0.001,0.103,11.6,256,75,4
8,15,8.7,0.023,0.026,0.107,9.6,354,75,2
8,16,8.5,0.031,0.001,0.089,9.4,298,75,2
8,18,9.6,0.021,0.02,0.035,9.9,172,75,4
9,5,7.9,0.039,0.001,0.241,7.7,1913,75,3
10,4,8,0.022,0.212,0.178,7.6,166,75,2
10,5,8.4,0.032,0.231,0.218,9.1,1655,75,5
10,15,7.7,0.043,0.217,0.18,5.6,96,75,4
10,17,8.2,0.031,0.001,0.131,7.8,240,75,7
11,2,7.9,0.059,0.137,0.031,8.4,368,75,1
11,4,7.7,0.045,0.453,0.167,7.6,166,75,2
11,5,7.6,0.045,0.451,0.194,9.1,1263,75,3
11,8,8.1,0.038,0.216,0.1,10.8,159,75,2
11,15,7.7,0.036,0.334,0.111,5.6,111,75,2
11,17,7.9,0.028,0.264,0.107,7.8,240,75,1
12,1,7.8,0.022,0.263,0.147,6.6,196,75,2
12,8,8.1,0.001,0.205,0.119,7.8,140,75,2
12,15,7.7,0.007,0.046,0.096,6.2,242,75,0.5
12,16,8.2,0.004,0.153,0.119,7.5,240,75,1
12,17,7.9,0.023,0.062,0.104,7.4,166,75,2
7,2,8.7,0.051,0.65,0.084,9.8,1138,89,7
7,8,8.6,0.051,1.35,0.105,11.1,1138,89,7
7,16,8.7,0.051,0.67,0.001,11,1138,89,8
11,2,8,0.051,0.409,0.091,7.2,1138,89,2
11,8,7.9,0.051,0.534,0.079,6.8,1138,89,2
11,16,7.8,0.051,0.513,0.09,7.2,1138,89,3
11,18,7.7,0.051,0.47,0.107,7.1,1138,89,1
12,2,9.6,0.051,0.035,0.047,8.1,1138,89,3
12,8,8.5,0.051,0.041,0.175,7,1138,89,2
12,16,8.4,0.051,0.544,0.264,6.3,1138,89,2
12,18,8.5,0.051,0.31,0.055,8,1138,89,3
2,1,8.4,0.051,0.331,0.057,8.9,1138,89,1
2,17,8.3,0.014,0.45,0.052,8,1486,89,1
3,16,8.2,0.027,0.559,0.003,8.1,271,89,1
3,18,7.8,0.01,0.004,0.007,8.5,301,89,1
4,18,8.7,0.068,0.096,0.031,8.5,110,89,1
5,17,8.1,0.079,0.051,0.066,7.5,86,89,2
5,18,9.4,0.056,0.004,0.004,10,51,89,4
6,16,9,0.042,0.165,0.087,7.7,83,89,2
7,17,8.8,0.028,0.001,0.134,7.8,41,89,2
7,18,9.6,0.001,0.038,0.001,9.4,38,89,3
8,4,8.6,0.183,0.142,0.014,7.3,121,89,2
8,16,8.8,0.033,0.001,0.009,7.4,211,89,7
9,4,9.6,0.073,0.058,0.039,13.5,49,89,3
9,8,9,0.001,0.109,0.045,8.8,272,89,2
9,16,9,0.011,0.037,0.036,10.2,211,89,4
10,4,8.9,0.034,0.046,0.07,8.9,49,89,2
11,1,8.9,0.065,0.131,0.031,7.8,197,89,2
12,1,7.9,0.105,0.121,0.149,6.5,37,89,1
12,2,7.9,0.11,0.141,0.122,7.6,51,89,2
12,17,8.8,0.045,0.089,0.013,7.7,110,89,2
12,18,8.4,0.055,0.248,0.113,7.6,57,89,1
1,1,8.4,0.001,0.223,0.087,7.9,60,89,1
1,4,8.3,0.001,0.149,0.072,8.1,32,89,1
1,8,8,0.001,0.335,0.101,7.6,90,89,1
1,15,8.6,0.001,0.379,0.108,8.2,96,89,1
1,17,8.7,0.001,0.19,0.057,9.6,76,89,3
1,18,7.8,0.001,0.393,0.066,7.7,73,89,1
2,15,8.4,0.034,0.509,0.131,8.8,85,89,2
2,17,8.1,0.04,2.592,0.145,7.7,86,89,1
3,2,8.4,0.1,0.197,0.049,9.4,290,89,2
9,18,8.4,0.005,0.003,0.041,9.7,172,89,2
10,2,8.3,0.037,0.06,0.008,8.4,256,89,2
12,2,7.9,0.016,0.032,0.022,8.6,190,89,2
12,18,8.1,0.008,0.006,0.026,8.8,101,89,2
4,1,7.7,0.036,1.896,0.2,8.1,540,60,8
4,2,7.8,0.036,1.103,0.14,8,540,60,9
4,5,7.8,0.036,2.012,0.28,7.4,540,60,10
4,15,8,0.036,0.522,0.16,8.2,540,60,9
4,16,8,0.036,0.892,0.16,7.1,540,60,10
4,17,8,0.036,1.244,0.16,7.8,540,60,11
4,18,7.9,0.036,0.469,0.15,8.4,540,60,10
8,1,9.3,0.036,0.469,0.15,12.2,540,60,10
8,5,9.7,0.036,0.469,0.15,18.3,540,60,10
8,8,8.5,0.036,0.469,0.15,8.3,540,60,10
8,15,8.5,0.036,0.469,0.15,11.6,540,60,2
8,16,8.8,0.036,0.469,0.15,9.9,540,60,2
8,17,8.5,0.036,0.469,0.063,9.7,540,60,2
8,18,8.3,0.036,0.469,0.063,9.1,540,60,2
9,8,9.1,0.036,0.469,0.063,9,540,60,2
9,16,9.3,0.036,0.469,0.063,9.2,540,60,2
1,5,8.7,0.036,0.469,0.063,9.1,540,60,2
2,4,7.8,0.036,0.335,0.063,7.8,522,60,1
2,5,8,0.018,0.715,0.135,7.5,360,60,2
2,8,8,0.006,0.375,0.098,7.5,435,60,1
2,15,8,0.027,0.538,0.067,7.8,820,60,1
3,17,8.1,0.072,0.192,0.016,7.9,918,60,1
4,2,8.5,0.085,0.046,0.071,8.3,627,60,1
4,8,8.5,0.094,0.018,0.084,8.3,488,60,1
5,2,8.7,0.081,0.009,0.037,8.4,945,60,3
5,8,8.3,0.055,0.001,0.077,7.9,707,60,1
6,1,9.4,0.063,0.065,0.108,14.4,85,60,8
6,4,9.6,0.051,0.051,0.149,9.5,117,60,3
6,5,9,0.336,0.069,0.19,9.5,363,60,3
6,8,9.4,0.054,0.684,0.095,8.9,809,60,3
7,2,9.5,0.015,0.574,0.179,9.7,586,60,1
7,4,9.8,0.034,0.031,0.147,15.9,104,60,6
7,8,9,0.031,0.001,0.143,8.1,517,60,1
7,15,8.1,0.073,0.001,0.176,4,786,60,2
8,1,8.1,0.313,0.382,0.235,5.5,126,60,3
8,5,8.5,0.12,0.313,0.306,6.6,945,60,2
8,8,9.1,0.069,0.028,0.001,7.6,586,60,2
9,1,7.8,0.076,0.728,0.134,7.3,335,60,3
9,5,8,0.029,1.084,0.145,7.8,305,60,2
10,1,7.9,0.055,0.796,0.185,7.3,231,60,2
10,15,7.6,0.181,0.035,0.089,5.9,140,60,1
11,5,7.6,0.045,0.038,0.258,7.5,558,60,2
11,8,7.6,0.032,0.308,0.258,8.1,272,60,2
11,15,7.6,0.156,0.184,0.208,6.8,309,60,3
11,16,8.4,0.002,0.14,0.168,9.8,268,60,2
11,17,8.4,0.045,0.127,0.244,7.9,196,60,2
11,18,8.4,0.049,0.314,0.222,6.6,110,60,1
12,5,8.4,0.13,0.039,0.181,6.8,426,60,2
12,8,9.3,0.053,0.238,0.116,7.2,125,60,1
1,5,8.1,0.001,0.344,0.181,8.5,272,60,1
2,1,8,0.16,0.405,0.238,7.6,163,60,1
3,1,7.9,0.009,0.267,0.069,8.9,512,60,2
4,1,7.7,0.111,0.413,0.371,6.3,973,60,3
4,2,7.8,0.038,0.021,0.156,7.2,624,60,3
4,8,7.8,0.048,0.034,0.253,7.1,552,60,2
4,15,7.8,0.062,0.09,0.265,6.9,272,60,3
4,16,7.8,0.047,0.094,0.236,6.9,196,60,2
4,17,7.9,0.051,0.004,0.169,7,272,60,2
4,18,7.8,0.073,0.016,0.29,7.4,151,60,3
5,1,8.3,0.143,0.001,0.289,7.3,586,60,2
5,5,7.6,0.404,0.162,0.427,5.5,586,60,6
5,8,8,0.041,0.001,0.096,7.5,482,60,3
5,17,8.2,0.016,0.001,0.098,7.6,586,60,4
6,1,8.6,0.23,0.224,0.31,8.7,268,60,4
6,2,8.2,0.02,0.001,0.165,7.1,485,60,2
6,4,8.3,0.027,0.022,0.252,8.1,185,60,2
6,5,8.1,0.028,0.238,0.359,9.7,268,60,3
6,8,8.4,0.001,0.001,0.092,8.6,482,60,2
6,18,9,0.016,0.042,0.156,8.6,352,60,2
7,2,7.9,0.07,0.52,0.17,6.9,271,60,2
7,4,8.6,0.053,0.032,0.31,9,210,60,4
7,5,7.7,0.844,0.045,0.37,8.6,758,60,6
7,15,7.9,0.056,0.019,0.1,7.4,488,60,3
7,16,8.3,0.103,0.02,0.12,6,467,60,7
7,17,8.1,0.048,0.012,0.15,8.1,343,60,4
7,18,8.5,0.059,0.022,0.15,9.3,485,60,4
8,4,9.1,0.047,0.016,0.098,13.1,160,60,4
8,5,8.8,0.025,0.001,0.087,11,406,60,3
8,17,9.2,0.03,0.001,0.105,14.1,140,60,4
9,1,8.2,0.001,0.206,0.154,7.3,291,60,3
9,2,8.7,0.003,0.001,0.099,9.5,592,60,3
9,4,9.3,0.013,0.001,0.128,17.2,272,60,7
9,8,8.7,0.001,0.005,0.168,10.3,357,60,5
9,15,8.8,0.001,0.001,0.235,10.4,234,60,9
9,16,8.9,0.004,0.001,0.352,10.9,1460,60,70
9,17,8.3,0.001,0.001,0.252,8.7,272,60,4
10,1,8.2,0.054,0.046,0.177,6.9,222,60,3
10,8,9.2,0.061,0.001,0.077,10.8,140,60,5
10,16,9.3,0.038,0.023,0.18,7.8,678,60,4
11,1,7.8,0.131,0.361,0.208,6.9,196,60,3
11,16,8.2,0.028,0.182,0.077,7.8,678,60,2
12,4,7.7,0.091,0.617,0.252,6.5,114,60,1
12,5,7.6,0.017,0.132,0.116,5.9,478,60,3
3,18,8.3,0.092,0.05,0.181,8.8,973,40,2
6,2,9.3,0.092,0.05,0.181,8.3,973,40,2