month,station,pH,ammonia,inorganic_phosphate,BOD,dissolved_oxygen,fecal_coliforms,wqi,nitrate
1,17,8.5,0.025,0.034,6,9.6,2400,97,0.138
2,1,8.5,0.025,0.021,6,8.2,2400,97,0.53
2,2,8.4,0.025,0.021,6,8.3,2400,97,0.53
2,4,8.2,0.025,0.021,6,8.7,2400,97,0.53
2,5,8.5,0.025,0.021,6,8.4,2400,97,0.53
2,8,8.3,0.025,0.021,6,8,2400,97,0.53
2,15,8.6,0.025,0.021,6,8.4,2400,97,0.53
2,16,8.6,0.025,0.021,6,8.2,2400,97,0.53
2,17,8.5,0.025,0.021,6,8.8,2400,97,0.53
2,18,8.4,0.025,0.021,6,8.6,2400,97,0.53
3,1,7.9,0.025,0.021,6,8.5,2400,97,0.53
3,2,8,0.025,0.021,6,7.5,2400,97,0.53
3,4,7.9,0.025,0.021,6,8.2,2400,97,0.53
3,5,7.9,0.025,0.021,6,7.7,2400,97,0.53
3,8,7.8,0.025,0.021,6,7.6,2400,97,0.53
3,15,8.3,0.025,0.021,6,8.5,2400,97,0.53
3,16,8.2,0.025,0.021,6,8.7,2400,97,0.53
3,17,8.2,0.025,0.021,6,8.4,2400,97,0.53
5,1,7.4,0.025,0.021,6,9.3,2400,97,0.53
5,2,7.6,0.025,0.021,6,8.8,2400,97,0.53
5,4,7.9,0.025,0.021,6,9.2,2400,97,0.53
5,5,7.9,0.025,0.021,6,11.5,2400,97,0.53
5,8,7.9,0.025,0.021,6,9.2,2400,97,0.53
5,15,7.7,0.025,0.021,6,9.2,2400,97,0.53
5,16,7.5,0.025,0.021,6,10.3,2400,97,0.53
5,17,7.8,0.025,0.021,6,9.5,2400,97,0.53
5,18,7.8,0.025,0.021,6,9,2400,97,0.53
6,1,8.8,0.025,0.021,6,9.8,2400,97,0.53
6,2,8.4,0.025,0.021,6,8.4,2400,97,0.53
6,4,8.7,0.025,0.021,6,7.9,2400,97,0.53
6,5,8.3,0.025,0.021,6,8.2,2400,97,0.53
6,8,8.4,0.025,0.021,6,9,2400,97,0.53
6,15,8.6,0.025,0.021,6,8.8,2400,97,0.53
6,16,8.2,0.025,0.021,6,8.8,2400,97,0.53
6,17,8.4,0.025,0.021,6,8.9,2400,97,0.53
6,18,8.7,0.025,0.021,6,7.9,2400,97,0.53
7,1,8.4,0.025,0.021,6,7.6,2400,97,1.51
7,5,8.3,0.025,0.021,6,12.8,2400,97,0.71
7,17,8.5,0.025,0.016,7,10.2,2400,97,0.53
7,18,8.6,0.025,0.009,7,10.6,2400,97,0.52
8,2,8.3,0.025,0.009,7,7.2,2400,97,0.388
8,4,9,0.025,0.009,7,11.3,2400,97,0.388
9,1,8.5,0.025,0.009,7,5.8,2400,97,0.388
9,2,8.7,0.025,0.009,7,8.6,2400,97,0.388
9,4,8.4,0.025,0.009,7,7.1,2400,97,0.388
9,5,7.8,0.025,0.009,7,6.9,2400,97,0.388
9,15,8.6,0.025,0.009,7,9.6,2400,97,0.388
9,17,7.8,0.025,0.009,7,8,2400,97,0.388
9,18,8.8,0.025,0.009,7,8.6,2400,97,0.388
10,1,8.4,0.025,0.009,2,7.6,2400,97,0.388
10,2,8,0.025,0.009,2,6.1,2400,97,0.388
10,4,8.2,0.025,0.009,3,7.4,2400,97,0.388
10,5,7.6,0.025,0.009,4,5.3,2400,97,0.388
10,8,8.1,0.025,0.009,2,7.6,2400,97,0.388
10,15,8,0.025,0.009,3,7,2400,97,0.388
10,16,8.7,0.025,0.009,3,8.3,2400,97,0.388
10,17,8.2,0.025,0.009,3,7.7,2400,97,0.388
10,18,7.9,0.025,0.009,4,7,2400,97,0.388
11,5,7.8,0.025,0.017,2,6.5,2400,97,0.388
12,5,8.5,0.025,0.066,3,8.5,2400,97,0.203
1,1,7.3,0.025,0.005,2,7.5,2400,97,0.203
1,2,8.2,0.025,0.005,1,7.2,2400,97,0.203
1,4,7.8,0.025,0.005,2,7.2,1600,97,0.203
1,8,7.7,0.025,0.005,1,6.8,2400,97,0.203
1,15,8.3,0.025,0.005,2,8.7,2400,97,0.203
1,16,8.8,0.025,0.005,2,8.4,2400,97,0.203
1,17,7.9,0.025,0.005,2,7.7,2400,97,0.203
1,18,8,0.025,0.005,1,7.6,3500,97,0.203
8,17,8.9,0.025,0.005,2,7.3,3500,97,0.037
8,18,8.9,0.256,0.001,3,6.7,3500,97,0.041
10,18,9,0.1,0.021,1,9.3,3500,97,0.036
3,18,8.3,0.25,0.023,2,9.4,3500,97,0.001
10,18,8,0.03,0.036,3,8.5,3500,97,0.001
11,18,8.1,0.021,0.02,1,8.5,3500,97,0.06
1,1,8.5,0.057,0.115,6,8.6,410,75,0.159
1,2,8.3,0.057,0.114,6,7.9,410,75,0.166
1,4,8.4,0.057,0.08,6,8.3,410,75,0.181
1,5,8.6,0.057,0.096,6,8.9,410,75,0.179
1,8,8.3,0.057,0.096,6,8.2,410,75,0.192
1,15,8.6,0.057,0.118,6,8.7,410,75,0.153
1,16,8.6,0.057,0.097,6,9.4,410,75,0.164
1,18,8.4,0.057,0.102,6,8.7,410,75,0.167
4,4,7.8,0.057,0.18,6,7.1,410,75,2.054
4,8,7.9,0.057,0.12,7,8.1,410,75,1.385
7,4,9.3,0.057,0.088,7,11.7,410,75,0.37
7,15,8.3,0.057,0.055,8,8.6,410,75,0.73
11,1,7.9,0.057,0.157,2,6.8,410,75,1.066
11,4,7.8,0.057,0.144,2,6.7,410,75,0.784
11,15,7.8,0.057,0.127,2,6.5,410,75,0.539
11,17,7.8,0.057,0.123,2,7,410,75,0.474
12,1,8.4,0.057,0.068,2,8.5,410,75,0.466
12,4,8.4,0.057,0.084,3,7.2,410,75,0.457
12,15,8.5,0.057,0.069,3,7.8,410,75,0.293
12,17,8.8,0.057,0.042,2,7.7,410,75,0.366
2,2,8,0.057,0.059,2,7.9,410,75,0.357
2,16,8.2,0.008,0.04,2,8.3,639,75,0.285
2,18,8.1,0.024,0.056,2,8.3,401,75,0.283
3,1,8,0.045,0.021,1,7.6,678,75,0.308
3,2,8.3,0.264,0.004,1,8.4,333,75,0.176
3,4,8.1,0.019,0.006,1,8.3,457,75,0.355
3,5,8,0.133,0.004,1,7.6,357,75,0.103
3,8,7.8,0.22,0.001,1,8,672,75,0.204
3,15,8.1,0.169,0.03,1,7.6,485,75,0.352
4,1,6.7,0.152,0.125,1,8.6,144,75,0.065
4,4,8.7,0.129,0.104,1,8.6,125,75,0.039
4,5,8.9,0.083,0.102,1,7.5,125,75,0.087
4,15,8.3,0.088,0.103,2,8.6,201,75,0.128
4,16,8.3,0.081,0.087,1,8.1,165,75,0.102
4,17,8.6,0.058,0.089,1,8.3,294,75,0.088
5,1,8.3,0.236,0.147,1,6.4,144,75,0.001
5,4,8.3,0.05,0.103,1,6.8,117,75,0.002
5,5,8.2,0.349,0.164,2,7.1,102,75,0.059
5,15,8.2,0.074,0.069,3,6.9,185,75,0.019
5,16,8.3,0.054,0.067,2,7.7,107,75,0.036
6,15,8.9,0.067,0.12,3,7.6,208,75,0.77
6,17,9.3,0.047,0.073,3,8.9,35,75,0.372
6,18,9.4,0.031,0.12,4,9.1,26,75,0.798
7,1,8.8,0.025,0.134,2,7.3,185,75,0.068
7,5,8.9,0.067,0.048,2,6.3,793,75,0.11
7,16,8.7,0.039,0.074,2,7.5,136,75,0.001
8,2,8.9,0.181,0.001,2,6.8,665,75,0.271
8,15,8.9,0.07,0.008,2,6.5,418,75,0.301
9,2,9,0.048,0.011,2,9,754,75,0.022
9,15,8.7,0.001,0.072,3,8.7,418,75,0.069
9,17,9.4,0.005,0.061,3,12.1,82,75,0.028
9,18,9.4,0.013,0.007,2,9.4,194,75,0.031
10,2,9.2,0.045,0.016,3,10,213,75,0.035
10,5,7.8,0.236,0.133,4,6.3,478,75,0.463
10,8,8.7,0.008,0.066,1,8.5,309,75,0.034
10,16,7.7,0.22,0.121,1,5.8,211,75,0.055
10,17,8.8,0.093,0.074,1,7.6,101,75,0.091
11,2,8.8,0.32,0.051,1,7.2,153,75,0.255
11,4,8.8,0.052,0.251,1,7.4,26,75,0.545
12,4,8.4,0.063,0.165,1,7.7,21,75,0.001
12,15,9,0.082,0.111,3,9.6,141,75,0.028
12,16,8.5,0.047,0.075,4,8.5,268,75,0.014
1,2,8,0.001,0.084,1,7.7,116,75,0.343
1,16,8.4,0.001,0.088,1,7.7,102,75,0.001
2,2,7.9,0.572,0.173,2,7.6,110,75,0.44
2,4,7.9,0.091,0.161,1,7.3,63,75,1.412
2,5,8.4,0.074,0.163,0.5,9,214,75,2.631
2,8,7.9,0.065,0.115,0.5,7.6,193,75,1.88
2,16,7.9,0.001,0.165,1,7.8,90,75,2.136
2,18,7.9,0.033,0.16,1,7.8,73,75,0.54
3,4,8,0.033,0.088,2,8.4,166,75,0.372
3,5,7.9,0.046,0.098,2,9,214,75,0.373
3,8,8.2,0.024,0.076,1,9.1,344,75,0.24
3,15,8.1,0.023,0.079,2,9.1,210,75,0.205
3,16,8.5,0.034,0.066,1,9.6,159,75,0.285
3,17,8.3,0.023,0.072,2,8.5,188,75,0.221
4,4,7.8,0.03,0.143,3,6.9,240,75,0.144
4,5,7.9,0.048,0.174,3,9.3,214,75,0.154
5,2,6.3,0.008,0.062,2,7.7,1060,75,0.001
5,4,8.7,0.026,0.067,3,8.4,314,75,0.001
5,15,8.3,0.022,0.02,3,7.9,426,75,0.013
5,16,8,0.043,0.078,2,7,306,75,0.001
5,18,8.3,0.019,0.071,3,8.4,426,75,0.001
6,15,8.3,0.025,0.151,3,8.7,259,75,0.001
6,16,8.4,0.003,0.143,2,9,217,75,0.001
6,17,8.5,0.001,0.132,2,10.2,303,75,0.001
7,1,8.2,0.058,0.11,2,8.7,163,75,0.031
7,8,8.1,0.047,0.05,2,8.1,482,75,0.015
8,1,8.6,0.099,0.076,3,9.4,163,75,0.018
8,2,8.6,0.089,0.105,3,9.6,271,75,0.184
8,8,9,0.026,0.103,4,11.6,256,75,0.001
8,15,8.7,0.023,0.107,2,9.6,354,75,0.026
8,16,8.5,0.031,0.089,2,9.4,298,75,0.001
8,18,9.6,0.021,0.035,4,9.9,172,75,0.02
9,5,7.9,0.039,0.241,3,7.7,1913,75,0.001
10,4,8,0.022,0.178,2,7.6,166,75,0.212
10,5,8.4,0.032,0.218,5,9.1,1655,75,0.231
10,15,7.7,0.043,0.18,4,5.6,96,75,0.217
10,17,8.2,0.031,0.131,7,7.8,240,75,0.001
11,2,7.9,0.059,0.031,1,8.4,368,75,0.137
11,4,7.7,0.045,0.167,2,7.6,166,75,0.453
11,5,7.6,0.045,0.194,3,9.1,1263,75,0.451
11,8,8.1,0.038,0.1,2,10.8,159,75,0.216
11,15,7.7,0.036,0.111,2,5.6,111,75,0.334
11,17,7.9,0.028,0.107,1,7.8,240,75,0.264
12,1,7.8,0.022,0.147,2,6.6,196,75,0.263
12,8,8.1,0.001,0.119,2,7.8,140,75,0.205
12,15,7.7,0.007,0.096,0.5,6.2,242,75,0.046
12,16,8.2,0.004,0.119,1,7.5,240,75,0.153
12,17,7.9,0.023,0.104,2,7.4,166,75,0.062
7,2,8.7,0.051,0.084,7,9.8,1138,89,0.65
7,8,8.6,0.051,0.105,7,11.1,1138,89,1.35
7,16,8.7,0.051,0.001,8,11,1138,89,0.67
11,2,8,0.051,0.091,2,7.2,1138,89,0.409
11,8,7.9,0.051,0.079,2,6.8,1138,89,0.534
11,16,7.8,0.051,0.09,3,7.2,1138,89,0.513
11,18,7.7,0.051,0.107,1,7.1,1138,89,0.47
12,2,9.6,0.051,0.047,3,8.1,1138,89,0.035
12,8,8.5,0.051,0.175,2,7,1138,89,0.041
12,16,8.4,0.051,0.264,2,6.3,1138,89,0.544
12,18,8.5,0.051,0.055,3,8,1138,89,0.31
2,1,8.4,0.051,0.057,1,8.9,1138,89,0.331
2,17,8.3,0.014,0.052,1,8,1486,89,0.45
3,16,8.2,0.027,0.003,1,8.1,271,89,0.559
3,18,7.8,0.01,0.007,1,8.5,301,89,0.004
4,18,8.7,0.068,0.031,1,8.5,110,89,0.096
5,17,8.1,0.079,0.066,2,7.5,86,89,0.051
5,18,9.4,0.056,0.004,4,10,51,89,0.004
6,16,9,0.042,0.087,2,7.7,83,89,0.165
7,17,8.8,0.028,0.134,2,7.8,41,89,0.001
7,18,9.6,0.001,0.001,3,9.4,38,89,0.038
8,4,8.6,0.183,0.014,2,7.3,121,89,0.142
8,16,8.8,0.033,0.009,7,7.4,211,89,0.001
9,4,9.6,0.073,0.039,3,13.5,49,89,0.058
9,8,9,0.001,0.045,2,8.8,272,89,0.109
9,16,9,0.011,0.036,4,10.2,211,89,0.037
10,4,8.9,0.034,0.07,2,8.9,49,89,0.046
11,1,8.9,0.065,0.031,2,7.8,197,89,0.131
12,1,7.9,0.105,0.149,1,6.5,37,89,0.121
12,2,7.9,0.11,0.122,2,7.6,51,89,0.141
12,17,8.8,0.045,0.013,2,7.7,110,89,0.089
12,18,8.4,0.055,0.113,1,7.6,57,89,0.248
1,1,8.4,0.001,0.087,1,7.9,60,89,0.223
1,4,8.3,0.001,0.072,1,8.1,32,89,0.149
1,8,8,0.001,0.101,1,7.6,90,89,0.335
1,15,8.6,0.001,0.108,1,8.2,96,89,0.379
1,17,8.7,0.001,0.057,3,9.6,76,89,0.19
1,18,7.8,0.001,0.066,1,7.7,73,89,0.393
2,15,8.4,0.034,0.131,2,8.8,85,89,0.509
2,17,8.1,0.04,0.145,1,7.7,86,89,2.592
3,2,8.4,0.1,0.049,2,9.4,290,89,0.197
9,18,8.4,0.005,0.041,2,9.7,172,89,0.003
10,2,8.3,0.037,0.008,2,8.4,256,89,0.06
12,2,7.9,0.016,0.022,2,8.6,190,89,0.032
12,18,8.1,0.008,0.026,2,8.8,101,89,0.006
4,1,7.7,0.036,0.2,8,8.1,540,60,1.896
4,2,7.8,0.036,0.14,9,8,540,60,1.103
4,5,7.8,0.036,0.28,10,7.4,540,60,2.012
4,15,8,0.036,0.16,9,8.2,540,60,0.522
4,16,8,0.036,0.16,10,7.1,540,60,0.892
4,17,8,0.036,0.16,11,7.8,540,60,1.244
4,18,7.9,0.036,0.15,10,8.4,540,60,0.469
8,1,9.3,0.036,0.15,10,12.2,540,60,0.469
8,5,9.7,0.036,0.15,10,18.3,540,60,0.469
8,8,8.5,0.036,0.15,10,8.3,540,60,0.469
8,15,8.5,0.036,0.15,2,11.6,540,60,0.469
8,16,8.8,0.036,0.15,2,9.9,540,60,0.469
8,17,8.5,0.036,0.063,2,9.7,540,60,0.469
8,18,8.3,0.036,0.063,2,9.1,540,60,0.469
9,8,9.1,0.036,0.063,2,9,540,60,0.469
9,16,9.3,0.036,0.063,2,9.2,540,60,0.469
1,5,8.7,0.036,0.063,2,9.1,540,60,0.469
2,4,7.8,0.036,0.063,1,7.8,522,60,0.335
2,5,8,0.018,0.135,2,7.5,360,60,0.715
2,8,8,0.006,0.098,1,7.5,435,60,0.375
2,15,8,0.027,0.067,1,7.8,820,60,0.538
3,17,8.1,0.072,0.016,1,7.9,918,60,0.192
4,2,8.5,0.085,0.071,1,8.3,627,60,0.046
4,8,8.5,0.094,0.084,1,8.3,488,60,0.018
5,2,8.7,0.081,0.037,3,8.4,945,60,0.009
5,8,8.3,0.055,0.077,1,7.9,707,60,0.001
6,1,9.4,0.063,0.108,8,14.4,85,60,0.065
6,4,9.6,0.051,0.149,3,9.5,117,60,0.051
6,5,9,0.336,0.19,3,9.5,363,60,0.069
6,8,9.4,0.054,0.095,3,8.9,809,60,0.684
7,2,9.5,0.015,0.179,1,9.7,586,60,0.574
7,4,9.8,0.034,0.147,6,15.9,104,60,0.031
7,8,9,0.031,0.143,1,8.1,517,60,0.001
7,15,8.1,0.073,0.176,2,4,786,60,0.001
8,1,8.1,0.313,0.235,3,5.5,126,60,0.382
8,5,8.5,0.12,0.306,2,6.6,945,60,0.313
8,8,9.1,0.069,0.001,2,7.6,586,60,0.028
9,1,7.8,0.076,0.134,3,7.3,335,60,0.728
9,5,8,0.029,0.145,2,7.8,305,60,1.084
10,1,7.9,0.055,0.185,2,7.3,231,60,0.796
10,15,7.6,0.181,0.089,1,5.9,140,60,0.035
11,5,7.6,0.045,0.258,2,7.5,558,60,0.038
11,8,7.6,0.032,0.258,2,8.1,272,60,0.308
11,15,7.6,0.156,0.208,3,6.8,309,60,0.184
11,16,8.4,0.002,0.168,2,9.8,268,60,0.14
11,17,8.4,0.045,0.244,2,7.9,196,60,0.127
11,18,8.4,0.049,0.222,1,6.6,110,60,0.314
12,5,8.4,0.13,0.181,2,6.8,426,60,0.039
12,8,9.3,0.053,0.116,1,7.2,125,60,0.238
1,5,8.1,0.001,0.181,1,8.5,272,60,0.344
2,1,8,0.16,0.238,1,7.6,163,60,0.405
3,1,7.9,0.009,0.069,2,8.9,512,60,0.267
4,1,7.7,0.111,0.371,3,6.3,973,60,0.413
4,2,7.8,0.038,0.156,3,7.2,624,60,0.021
4,8,7.8,0.048,0.253,2,7.1,552,60,0.034
4,15,7.8,0.062,0.265,3,6.9,272,60,0.09
4,16,7.8,0.047,0.236,2,6.9,196,60,0.094
4,17,7.9,0.051,0.169,2,7,272,60,0.004
4,18,7.8,0.073,0.29,3,7.4,151,60,0.016
5,1,8.3,0.143,0.289,2,7.3,586,60,0.001
5,5,7.6,0.404,0.427,6,5.5,586,60,0.162
5,8,8,0.041,0.096,3,7.5,482,60,0.001
5,17,8.2,0.016,0.098,4,7.6,586,60,0.001
6,1,8.6,0.23,0.31,4,8.7,268,60,0.224
6,2,8.2,0.02,0.165,2,7.1,485,60,0.001
6,4,8.3,0.027,0.252,2,8.1,185,60,0.022
6,5,8.1,0.028,0.359,3,9.7,268,60,0.238
6,8,8.4,0.001,0.092,2,8.6,482,60,0.001
6,18,9,0.016,0.156,2,8.6,352,60,0.042
7,2,7.9,0.07,0.17,2,6.9,271,60,0.52
7,4,8.6,0.053,0.31,4,9,210,60,0.032
7,5,7.7,0.844,0.37,6,8.6,758,60,0.045
7,15,7.9,0.056,0.1,3,7.4,488,60,0.019
7,16,8.3,0.103,0.12,7,6,467,60,0.02
7,17,8.1,0.048,0.15,4,8.1,343,60,0.012
7,18,8.5,0.059,0.15,4,9.3,485,60,0.022
8,4,9.1,0.047,0.098,4,13.1,160,60,0.016
8,5,8.8,0.025,0.087,3,11,406,60,0.001
8,17,9.2,0.03,0.105,4,14.1,140,60,0.001
9,1,8.2,0.001,0.154,3,7.3,291,60,0.206
9,2,8.7,0.003,0.099,3,9.5,592,60,0.001
9,4,9.3,0.013,0.128,7,17.2,272,60,0.001
9,8,8.7,0.001,0.168,5,10.3,357,60,0.005
9,15,8.8,0.001,0.235,9,10.4,234,60,0.001
9,16,8.9,0.004,0.352,70,10.9,1460,60,0.001
9,17,8.3,0.001,0.252,4,8.7,272,60,0.001
10,1,8.2,0.054,0.177,3,6.9,222,60,0.046
10,8,9.2,0.061,0.077,5,10.8,140,60,0.001
10,16,9.3,0.038,0.18,4,7.8,678,60,0.023
11,1,7.8,0.131,0.208,3,6.9,196,60,0.361
11,16,8.2,0.028,0.077,2,7.8,678,60,0.182
12,4,7.7,0.091,0.252,1,6.5,114,60,0.617
12,5,7.6,0.017,0.116,3,5.9,478,60,0.132
3,18,8.3,0.092,0.181,2,8.8,973,40,0.05
6,2,9.3,0.092,0.181,2,8.3,973,40,0.05